Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Yr Sold,SalePrice,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Kitchen Qual,Functional,Fireplace Qu,Garage Finish,Garage Qual,Garage Cond,Pool QC
9549,8,5,1995,1996,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,1.0,0.0,1,1,2,1,6,1,1995.0,2.0,481.0,0,30,0,0,216,0,0,2006,270000,4,4,4,4,2,6,5,5,7,4,3,3,3,1
10950,6,6,1952,1952,0.0,441.0,0.0,507.0,948.0,948,0,0,948,0.0,0.0,1,0,2,1,5,0,1952.0,2.0,410.0,0,48,0,0,0,0,0,2007,125000,3,3,3,3,5,1,3,3,7,1,1,3,3,1
10637,8,5,2007,2008,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,1.0,0.0,2,0,3,1,7,1,2007.0,3.0,826.0,208,44,0,0,0,0,0,2009,297000,4,3,5,3,6,1,5,4,7,4,2,3,3,1
9000,6,6,1958,1958,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,0.0,0.0,1,0,2,1,5,1,1958.0,1.0,384.0,0,28,64,0,0,0,0,2009,113500,3,3,4,3,1,1,2,3,7,4,2,3,3,1
2665,5,6,1977,1977,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,0.0,0.0,2,0,4,1,6,1,1977.0,1.0,336.0,104,26,0,0,0,0,0,2006,127000,3,3,3,3,5,3,5,3,7,3,2,3,3,1
11751,6,6,1977,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,0.0,0.0,2,0,3,1,7,1,1977.0,2.0,546.0,0,122,0,0,0,0,0,2010,190000,3,3,4,3,4,1,5,3,7,3,2,3,3,1
9600,7,6,1973,1973,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,0.0,0.0,1,1,3,1,6,1,1973.0,2.0,528.0,0,0,0,0,0,0,0,2007,175500,3,3,3,3,5,1,2,3,7,3,1,3,3,1
8428,5,7,1994,1994,0.0,420.0,0.0,570.0,990.0,990,0,0,990,1.0,0.0,1,0,3,1,5,0,1995.0,1.0,384.0,256,0,0,0,0,0,0,2007,146000,3,4,4,4,6,1,5,3,7,1,1,3,3,1
9937,5,6,1965,1965,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,1.0,0.0,1,1,3,1,6,0,1965.0,1.0,276.0,736,68,0,0,0,0,0,2008,147500,4,3,3,3,4,2,4,3,7,1,3,3,3,1
13891,10,5,2006,2006,0.0,1386.0,0.0,690.0,2076.0,2076,0,0,2076,1.0,0.0,2,1,2,1,7,1,2006.0,3.0,850.0,216,229,0,0,0,0,0,2006,465000,5,3,5,4,6,1,5,5,7,4,3,3,3,1
9101,5,6,1978,1978,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,1.0,0.0,1,0,1,1,4,1,1978.0,2.0,602.0,303,30,0,0,0,0,0,2009,165500,3,4,4,3,6,1,5,4,7,3,3,3,3,1
12150,5,5,1954,1954,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,0.0,0.0,2,0,4,1,7,0,1954.0,1.0,352.0,0,0,0,0,0,0,0,2008,131500,3,3,3,3,1,1,5,3,7,1,1,2,3,1
11200,5,5,1965,1965,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,0,1965.0,1.0,384.0,0,0,0,0,0,0,0,2008,129500,3,3,3,3,3,1,5,3,7,1,1,3,3,1
9670,8,6,1935,1950,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,0.0,0.0,1,1,4,1,9,2,1935.0,2.0,786.0,0,0,207,0,0,0,0,2008,257076,3,3,3,2,2,1,3,3,7,4,3,2,3,1
10998,5,5,1941,1960,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,0.0,0.0,2,0,3,1,6,0,1977.0,2.0,660.0,0,68,0,0,0,0,0,2009,117000,3,3,3,3,2,4,5,3,5,1,1,3,3,1
7200,7,6,1931,2000,0.0,0.0,0.0,776.0,776.0,851,651,0,1502,0.0,0.0,1,1,3,1,6,1,1931.0,1.0,270.0,0,0,112,0,0,0,0,2008,149000,3,2,4,3,1,1,3,3,7,4,2,3,3,1
9920,5,5,1954,1954,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,1.0,0.0,1,0,3,1,6,0,1954.0,1.0,280.0,0,0,164,0,0,0,0,2010,128000,3,3,3,3,3,2,3,3,7,1,2,3,3,1
2448,7,5,2003,2004,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,0.0,0.0,2,1,2,1,6,0,2003.0,2.0,474.0,0,27,0,0,0,0,0,2008,155000,4,3,4,3,1,1,5,4,7,1,2,3,3,1
2998,6,5,2000,2000,513.0,353.0,0.0,403.0,756.0,768,756,0,1524,0.0,0.0,2,1,2,1,4,0,2000.0,2.0,440.0,0,32,0,0,0,0,0,2006,166000,4,3,4,3,6,1,5,4,7,1,1,3,3,1
7804,4,3,1928,1950,0.0,622.0,0.0,500.0,1122.0,1328,653,0,1981,1.0,0.0,2,0,4,1,7,2,1981.0,2.0,576.0,431,44,0,0,0,0,0,2009,135000,3,3,3,3,4,1,3,4,5,3,1,3,3,1
16692,7,5,1978,1978,184.0,790.0,469.0,133.0,1392.0,1392,1392,0,2784,1.0,0.0,3,1,5,1,12,2,1978.0,2.0,564.0,0,112,0,0,440,519,2000,2006,250000,3,3,4,3,4,2,3,4,7,3,2,3,3,2
1476,4,7,1970,1970,0.0,176.0,0.0,370.0,546.0,546,546,0,1092,0.0,0.0,1,1,3,1,5,0,1979.0,0.0,0.0,200,26,0,0,0,0,0,2010,76000,3,3,3,3,6,1,5,3,7,1,0,1,1,1
10170,6,6,1951,1951,522.0,0.0,0.0,216.0,216.0,1575,0,0,1575,0.0,0.0,1,1,2,1,5,1,1951.0,2.0,400.0,0,0,0,0,0,0,0,2006,155000,3,3,3,3,1,1,3,4,7,4,1,3,3,1
9364,6,7,1969,1969,143.0,371.0,0.0,292.0,663.0,663,689,0,1352,0.0,0.0,1,1,4,1,7,0,1969.0,1.0,299.0,379,36,0,0,0,0,0,2010,158000,3,3,3,3,5,1,3,3,7,1,3,3,3,1
2544,7,5,2004,2005,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,1.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,2010,149500,4,3,4,3,6,5,5,4,7,1,2,3,3,1
9888,5,6,1954,1975,0.0,486.0,0.0,450.0,936.0,936,0,0,936,0.0,0.0,1,0,2,1,5,0,1954.0,1.0,240.0,0,0,160,0,0,0,0,2006,121000,3,4,3,3,4,1,3,3,7,1,1,3,3,1
7942,6,7,1953,1953,0.0,85.0,955.0,0.0,1040.0,1040,0,0,1040,0.0,1.0,1,0,3,1,6,0,1953.0,1.0,293.0,0,0,0,0,0,0,0,2007,136000,3,3,3,3,3,5,3,3,7,1,3,3,3,1
15038,6,5,1996,1996,0.0,138.0,0.0,778.0,916.0,916,720,0,1636,0.0,0.0,2,1,3,1,7,1,1996.0,2.0,386.0,168,84,0,0,0,0,0,2008,173000,3,3,4,3,3,1,4,3,7,3,3,3,3,1
11764,8,7,1999,2007,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,2270,0.0,0.0,2,1,4,1,9,1,1999.0,3.0,671.0,132,57,0,0,0,0,0,2010,290000,4,3,4,3,6,1,5,4,7,4,3,3,3,1
9000,8,5,2007,2007,0.0,64.0,0.0,1120.0,1184.0,1184,1426,0,2610,0.0,0.0,2,1,4,1,11,1,2007.0,2.0,550.0,208,364,0,0,0,0,0,2007,303477,4,3,4,3,6,1,5,5,7,4,3,3,3,1
20062,7,7,1977,2001,0.0,1092.0,0.0,328.0,1420.0,1483,0,0,1483,1.0,0.0,1,1,1,1,4,2,1977.0,2.0,690.0,496,0,0,0,0,0,0,2010,270000,4,4,4,3,5,1,4,3,7,3,2,3,3,1
7308,5,5,1920,1950,0.0,360.0,0.0,576.0,936.0,960,780,0,1740,0.0,0.0,1,0,2,1,6,1,1920.0,1.0,225.0,0,0,236,0,0,0,0,2008,122250,2,2,3,3,3,1,4,5,7,4,1,2,2,1
8750,5,5,1955,1955,0.0,172.0,483.0,727.0,1382.0,1382,0,0,1382,0.0,1.0,1,0,3,1,6,0,1955.0,1.0,350.0,280,0,0,0,0,0,0,2009,153000,3,3,3,3,3,2,4,4,7,1,1,3,3,1
8402,5,5,2007,2007,0.0,206.0,0.0,914.0,1120.0,1120,0,0,1120,0.0,0.0,1,0,3,1,6,0,1979.0,0.0,0.0,0,30,0,0,0,0,0,2007,147000,3,3,4,3,5,1,5,3,7,1,0,1,1,1
4000,7,8,1930,1995,0.0,246.0,0.0,285.0,531.0,567,531,0,1098,1.0,0.0,1,0,2,1,5,1,1930.0,1.0,216.0,0,0,0,0,0,0,0,2007,148500,3,3,4,3,6,1,3,3,7,4,1,3,3,1
3363,7,5,2004,2004,117.0,0.0,0.0,976.0,976.0,976,732,0,1708,0.0,0.0,2,0,3,1,7,0,2004.0,2.0,380.0,0,40,0,0,0,0,0,2006,130000,4,3,4,3,1,1,5,4,3,1,1,3,3,1
13615,9,5,2006,2006,510.0,0.0,0.0,1802.0,1802.0,1802,0,0,1802,0.0,0.0,2,1,3,1,7,1,2006.0,3.0,843.0,158,105,0,0,0,0,0,2007,372000,5,3,5,3,1,1,5,5,7,4,3,3,3,1
3013,7,5,2005,2005,145.0,16.0,0.0,1346.0,1362.0,1506,0,0,1506,0.0,0.0,2,0,2,1,6,1,2005.0,2.0,440.0,142,20,0,0,0,0,0,2006,213490,4,3,4,3,6,1,5,4,7,4,3,3,3,1
17485,7,5,2009,2010,96.0,1346.0,0.0,162.0,1508.0,1508,0,0,1508,1.0,0.0,1,0,1,1,5,2,2009.0,2.0,572.0,0,0,0,0,0,0,0,2010,308030,4,3,4,3,6,1,5,4,7,3,2,3,3,1
23730,7,5,1996,1997,668.0,700.0,0.0,1140.0,1840.0,2032,0,0,2032,1.0,0.0,3,0,3,1,7,0,1996.0,3.0,786.0,0,46,192,0,0,0,0,2008,300000,4,3,5,3,6,1,5,4,7,1,3,3,3,1
8910,6,6,1959,1959,0.0,655.0,0.0,0.0,655.0,1194,0,0,1194,0.0,1.0,1,0,3,1,6,1,1954.0,2.0,539.0,0,0,192,0,0,0,0,2006,159500,3,3,3,3,5,1,5,3,7,2,3,3,3,1
2522,7,5,2004,2004,50.0,0.0,0.0,970.0,970.0,970,739,0,1709,0.0,0.0,2,0,3,1,7,0,2004.0,2.0,380.0,0,40,0,0,0,0,0,2006,137500,4,3,4,3,1,1,5,4,3,1,1,3,3,1
8688,7,5,2005,2005,228.0,0.0,0.0,1616.0,1616.0,1616,0,0,1616,0.0,0.0,2,0,3,1,7,0,2005.0,3.0,834.0,208,59,0,0,0,0,0,2006,232000,4,3,4,3,1,1,5,4,7,1,2,3,3,1
6291,6,6,1930,1950,0.0,0.0,0.0,768.0,768.0,768,0,0,768,0.0,0.0,1,0,1,1,4,0,1930.0,2.0,440.0,0,0,84,0,0,0,0,2008,93850,4,4,3,3,1,1,3,3,7,1,1,3,3,1
17529,5,5,1924,1950,65.0,0.0,0.0,872.0,872.0,872,0,0,872,0.0,0.0,1,0,2,1,5,1,1924.0,1.0,322.0,0,0,116,0,0,0,0,2006,105000,3,3,3,3,1,1,2,2,4,4,1,2,2,1
6324,4,6,1927,1950,0.0,0.0,0.0,520.0,520.0,520,0,0,520,0.0,0.0,1,0,1,1,4,0,1920.0,1.0,240.0,49,0,87,0,0,0,0,2008,68500,3,3,3,3,1,1,2,2,7,1,1,2,3,1
11600,5,5,1960,1960,361.0,443.0,0.0,662.0,1105.0,1105,1169,0,2274,0.0,0.0,2,0,5,2,12,0,1960.0,2.0,480.0,0,0,0,0,0,0,0,2010,154300,3,3,3,3,3,1,3,3,7,1,1,3,3,1
7288,5,7,1925,2003,0.0,0.0,0.0,936.0,936.0,936,665,0,1601,0.0,0.0,2,0,3,1,6,0,1979.0,0.0,0.0,0,0,0,176,0,0,0,2007,129850,4,4,3,1,1,1,5,3,7,1,0,1,1,1
4571,5,7,1910,1950,0.0,168.0,0.0,448.0,616.0,616,616,0,1232,0.0,0.0,1,0,3,1,6,0,1920.0,2.0,480.0,280,0,143,0,0,0,0,2007,114000,3,3,3,3,4,1,5,3,7,1,1,2,2,1
17423,9,5,2008,2009,748.0,1904.0,0.0,312.0,2216.0,2234,0,0,2234,1.0,0.0,2,0,1,1,9,1,2009.0,3.0,1166.0,0,60,0,0,0,0,0,2009,501837,5,3,5,3,6,1,5,5,7,4,3,3,3,1
12665,5,8,1915,1950,0.0,0.0,0.0,876.0,876.0,876,540,0,1416,0.0,0.0,1,1,4,1,7,1,1949.0,3.0,720.0,418,0,194,0,0,0,0,2008,153900,3,3,3,3,1,1,4,3,7,4,1,3,3,1
9000,4,7,1971,2006,0.0,240.0,0.0,624.0,864.0,864,0,0,864,0.0,0.0,1,0,3,1,5,0,1986.0,2.0,576.0,200,0,0,0,0,0,0,2009,130000,3,4,3,3,5,1,4,3,7,1,1,3,3,1
4500,6,5,1997,1997,197.0,864.0,0.0,325.0,1189.0,1189,0,0,1189,1.0,0.0,2,0,2,1,4,0,1997.0,2.0,392.0,0,122,0,0,0,0,0,2008,160500,3,3,5,3,6,1,5,3,7,1,2,3,3,1
6373,9,5,2006,2006,572.0,415.0,0.0,1251.0,1666.0,1666,0,0,1666,1.0,0.0,2,0,2,1,6,1,2006.0,2.0,575.0,228,75,0,0,0,0,0,2006,310090,5,3,5,4,6,1,5,4,7,4,2,3,3,1
10083,7,5,2003,2003,0.0,833.0,0.0,343.0,1176.0,1200,0,0,1200,1.0,0.0,2,0,2,1,5,0,2003.0,2.0,555.0,0,41,0,0,0,0,0,2009,184900,4,3,4,3,6,1,5,4,7,1,2,3,3,1
13300,5,7,1956,2000,0.0,377.0,0.0,551.0,928.0,928,0,0,928,0.0,0.0,1,0,2,1,4,0,1956.0,1.0,252.0,261,0,156,0,0,0,0,2007,132000,3,3,4,3,3,1,3,3,7,1,1,3,3,1
9600,5,5,1969,1969,128.0,553.0,147.0,588.0,1288.0,1336,0,0,1336,0.0,1.0,2,0,3,1,6,1,1969.0,2.0,502.0,312,11,0,0,0,0,650,2009,163000,3,3,4,3,5,3,3,3,7,2,2,3,3,1
3215,7,5,2004,2004,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,0.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,2010,155000,4,3,4,3,6,1,5,4,7,1,2,3,3,1
11104,6,6,1969,1969,0.0,828.0,0.0,599.0,1427.0,1427,0,0,1427,0.0,1.0,2,0,4,1,7,0,1969.0,2.0,516.0,0,0,0,0,216,0,0,2008,183000,3,3,3,3,6,1,4,3,7,1,2,3,3,1
15295,7,5,1996,2002,254.0,762.0,0.0,98.0,860.0,1212,780,0,1992,1.0,0.0,2,1,3,1,7,2,1996.0,2.0,608.0,225,32,0,0,0,0,0,2007,211000,4,3,4,3,6,1,5,4,5,3,2,3,3,1
9109,7,5,1994,1994,0.0,36.0,596.0,122.0,754.0,754,786,0,1540,1.0,0.0,2,1,3,1,6,0,1994.0,2.0,495.0,140,32,0,0,0,0,0,2009,184000,4,3,4,3,2,6,5,4,7,1,2,3,3,1
7018,5,5,1979,1979,0.0,0.0,0.0,0.0,0.0,1535,0,0,1535,0.0,0.0,2,0,4,2,8,0,1979.0,2.0,400.0,0,0,0,0,0,0,0,2009,118858,3,3,1,1,0,0,3,3,7,1,1,3,3,1
14112,5,7,1964,1964,86.0,1014.0,0.0,138.0,1152.0,1152,0,0,1152,1.0,0.0,1,0,3,1,6,1,1964.0,2.0,484.0,227,0,0,0,0,0,0,2010,180500,3,3,3,3,6,1,3,3,7,4,2,3,3,1
3523,8,5,2006,2007,30.0,60.0,0.0,1081.0,1141.0,1151,0,0,1151,1.0,0.0,2,0,2,1,5,0,2006.0,2.0,484.0,0,60,0,0,0,0,0,2007,166000,4,3,4,3,6,1,5,4,7,1,3,3,3,1
15312,6,5,1960,1960,54.0,588.0,0.0,550.0,1138.0,1138,0,0,1138,0.0,1.0,1,0,3,1,6,1,1960.0,2.0,480.0,0,0,0,0,140,0,0,2009,148000,3,3,3,3,4,1,5,3,7,3,2,3,3,1
7450,5,5,1956,1956,0.0,438.0,206.0,250.0,894.0,1074,0,0,1074,0.0,0.0,1,0,2,1,6,1,1966.0,2.0,396.0,0,72,0,0,0,0,0,2007,124000,3,3,3,3,3,2,4,4,6,4,1,3,3,1
7313,9,5,2005,2005,246.0,1153.0,0.0,408.0,1561.0,1561,0,0,1561,1.0,0.0,2,0,2,1,6,1,2005.0,2.0,556.0,203,47,0,0,0,0,0,2007,277500,5,3,5,3,6,1,5,5,7,4,3,3,3,1
10019,8,5,1995,1995,397.0,527.0,0.0,815.0,1342.0,1358,1368,0,2726,0.0,0.0,2,1,4,1,9,1,1995.0,3.0,725.0,307,169,168,0,0,0,0,2006,350000,4,3,4,3,5,1,5,4,7,5,2,3,3,1
15401,9,5,2004,2004,296.0,1337.0,0.0,547.0,1884.0,1884,0,0,1884,1.0,0.0,2,0,2,1,7,1,2004.0,3.0,670.0,214,76,0,0,0,0,0,2008,387000,5,3,5,3,6,1,5,5,7,4,3,3,3,1
9098,4,7,1920,2002,0.0,348.0,0.0,180.0,528.0,605,0,0,605,1.0,0.0,1,0,2,1,5,0,1979.0,0.0,0.0,0,0,144,0,0,0,0,2007,86000,3,3,3,3,5,1,5,3,7,1,0,1,1,1
16280,8,9,1976,2007,0.0,1044.0,382.0,0.0,1426.0,1671,0,0,1671,1.0,0.0,3,0,3,1,6,1,1976.0,2.0,550.0,280,90,0,0,0,0,0,2008,290000,5,5,4,5,6,3,5,5,7,4,2,3,3,1
9392,3,3,1900,1950,0.0,0.0,0.0,245.0,245.0,797,0,0,797,0.0,0.0,1,0,2,1,5,0,1979.0,0.0,0.0,0,36,94,0,0,0,0,2009,44000,3,2,2,3,1,1,3,3,7,1,0,1,1,1
12209,6,5,2001,2002,0.0,690.0,0.0,114.0,804.0,804,1157,0,1961,1.0,0.0,2,1,3,1,7,1,2001.0,2.0,560.0,125,192,0,0,0,0,0,2009,215000,3,3,5,3,5,1,5,4,7,3,3,3,3,1
13110,5,6,1972,1972,144.0,962.0,0.0,191.0,1153.0,1193,0,0,1193,1.0,0.0,2,0,2,1,6,0,1972.0,2.0,501.0,140,153,0,0,0,0,0,2006,146500,3,3,4,3,6,1,5,3,7,1,3,3,3,1
